City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,Coihaique,-45.5752,-72.0662,38.01,50,0,3.47,CL,2022-06-22 19:38:54
279,Hendersonville,36.3048,-86.62,101.77,36,1,4.0,US,2022-06-22 19:39:59
280,Tadine,-21.55,167.8833,69.51,69,100,9.4,NC,2022-06-22 19:42:36
281,Yumen,40.2833,97.2,73.8,28,0,8.61,CN,2022-06-22 19:42:37
282,Pundaguitan,6.3711,126.1689,82.44,71,99,4.43,PH,2022-06-22 19:42:37
283,Esil,51.9556,66.4042,67.01,77,100,12.33,KZ,2022-06-22 19:42:37
284,Kuybyshevo,47.8123,38.9073,61.57,62,79,4.54,RU,2022-06-22 19:42:38
285,Cabo San Lucas,22.8909,-109.9124,91.62,48,40,8.05,MX,2022-06-22 19:42:38
286,Tura,25.5198,90.2201,73.47,98,64,4.9,IN,2022-06-22 19:42:38
287,Bardiyah,31.7561,25.0865,74.98,81,0,13.38,LY,2022-06-22 19:42:39
288,Nesebar,42.7833,27.7333,67.35,74,33,0.63,BG,2022-06-22 19:42:39
289,Erdenet,49.0333,104.0833,51.12,88,4,2.28,MN,2022-06-22 19:42:39
290,Kidal,18.4411,1.4078,99.52,10,29,5.97,ML,2022-06-22 19:42:40
291,Sarankhola,22.3082,89.7897,78.44,92,44,4.34,BD,2022-06-22 19:42:40
292,Lebu,-37.6167,-73.65,48.58,89,100,6.51,CL,2022-06-22 19:42:41
293,Hambantota,6.1241,81.1185,79.47,83,100,14.14,LK,2022-06-22 19:42:41
294,Zalantun,48.0,122.7167,66.79,66,75,2.64,CN,2022-06-22 19:42:41
