City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Amarante Do Maranhao,BR,-5.5667,-46.7422,71.44,80,0,3.18,clear sky
231,Faanui,PF,-16.4833,-151.75,80.11,67,13,9.31,few clouds
232,Eregli,TR,37.5133,34.0467,62.74,55,0,4.34,clear sky
233,Aborlan,PH,9.4352,118.5492,80.67,69,87,5.1,overcast clouds
234,Port Macquarie,AU,-31.4333,152.9167,64.89,44,1,1.59,clear sky
235,Buraydah,SA,26.326,43.975,86.45,17,87,9.64,light rain
236,Anadyr,RU,64.75,177.4833,55.9,71,40,17.9,scattered clouds
237,Port Elizabeth,ZA,-33.918,25.5701,60.31,85,93,3.44,overcast clouds
238,Nanchang,CN,28.6833,115.8833,82.18,84,100,10.54,overcast clouds
239,Haacht,BE,50.9776,4.6354,65.95,62,0,3.44,clear sky
240,Luz,BR,-19.8014,-45.6856,60.87,57,49,1.74,scattered clouds
241,Mareeba,AU,-17.0,145.4333,75.43,64,0,9.8,clear sky
242,Touros,BR,-5.1989,-35.4608,74.82,90,100,6.2,light rain
243,Ambilobe,MG,-13.2,49.05,61.32,83,3,4.56,clear sky
244,Saint-Francois,FR,46.4154,3.9054,58.44,100,0,3.44,clear sky
245,Tamandare,BR,-8.7597,-35.1047,73.99,95,100,3.2,overcast clouds
246,Pokaran,IN,26.9167,71.9167,89.08,41,0,11.23,clear sky
247,Bundaberg,AU,-24.85,152.35,69.08,53,0,5.68,clear sky
248,Florence,IT,43.7667,11.25,74.53,85,0,5.75,clear sky
249,Cap Malheureux,MU,-19.9842,57.6142,66.47,75,18,4.0,few clouds
250,Vostok,RU,46.4856,135.8833,67.19,66,100,5.64,overcast clouds
251,Nouadhibou,MR,20.931,-17.0347,73.38,68,14,16.11,few clouds
252,Chokurdakh,RU,70.6333,147.9167,43.95,49,87,17.47,overcast clouds
253,Saint-Augustin,CA,51.226,-58.6502,50.31,91,98,12.55,overcast clouds
254,West Fargo,US,46.875,-96.9004,82.45,32,0,10.36,clear sky
255,Bagdarin,RU,54.4333,113.6,60.26,62,100,3.33,overcast clouds
256,Vanimo,PG,-2.6741,141.3028,84.81,68,5,6.53,clear sky
257,Avarua,CK,-21.2078,-159.775,82.45,78,75,18.41,broken clouds
258,Sabang,ID,5.8933,95.3214,81.01,79,100,23.31,light rain
259,Freeport,US,40.6576,-73.5832,64.38,83,100,11.5,mist
260,Keelung,TW,25.1283,121.7419,93.11,64,3,3.78,clear sky
261,Dwarka,IN,22.2394,68.9678,84.56,78,57,12.5,broken clouds
262,Pionerskiy,RU,54.9508,20.2275,51.75,88,3,6.02,clear sky
263,Iskateley,RU,67.6803,53.1512,41.34,85,100,11.79,overcast clouds
264,Beringovskiy,RU,63.05,179.3167,47.32,82,100,12.41,overcast clouds
265,Kjopsvik,NO,68.097,16.3742,51.17,81,100,7.74,overcast clouds
266,Samana,DO,19.2056,-69.3369,77.47,83,100,5.57,overcast clouds
267,Kyra,RU,49.5776,111.9753,67.35,41,4,13.71,clear sky
268,Sortland,NO,68.6949,15.4162,48.16,92,100,6.67,overcast clouds
269,Hamilton,US,39.1834,-84.5333,74.77,94,20,0.0,few clouds
270,Gat,IL,31.61,34.7642,72.39,100,1,4.92,clear sky
271,Katsina,NG,12.9894,7.6006,82.65,53,3,7.96,clear sky
272,Sioux Lookout,CA,50.1001,-91.917,69.87,46,40,8.05,scattered clouds
273,Snasa,NO,64.2457,12.3778,53.35,94,100,7.74,light rain
274,Srednekolymsk,RU,67.45,153.6833,52.79,57,99,13.33,overcast clouds
275,Coahuayana,MX,18.7333,-103.6833,78.78,84,100,0.45,overcast clouds
276,Danilov,RU,58.1908,40.1717,48.49,86,0,3.38,clear sky
277,Laguna,US,38.421,-121.4238,95.31,32,75,1.99,broken clouds
278,Byron Bay,AU,-28.65,153.6167,67.95,61,0,1.57,clear sky
279,Urucara,BR,-2.5364,-57.76,75.42,76,54,2.91,broken clouds
280,Bukama,CD,-9.2,25.85,62.49,56,1,4.21,clear sky
281,Balabac,PH,7.9868,117.0645,85.35,69,39,9.17,scattered clouds
282,Meulaboh,ID,4.1363,96.1285,78.46,81,92,4.41,overcast clouds
283,Havelock,US,34.8791,-76.9013,80.55,85,40,8.99,scattered clouds
284,Aripuana,BR,-9.1667,-60.6333,70.74,60,81,1.97,broken clouds
285,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,86,96,9.26,light rain
286,Sola,VU,-13.8833,167.55,80.22,79,96,17.4,light rain
287,San Felipe,VE,10.3399,-68.7425,71.4,97,30,0.18,scattered clouds
288,Whitianga,NZ,-36.8333,175.7,56.41,63,8,5.46,clear sky
